k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,cycle_time,station_times,operator_times,violations,best_solution
231,1000,10000,0.1,0.8,roulette,SP,0.25,random,2277,277,"[277, 111, 277, 78, 191, 180, 274, 227, 276, 239, 276]","[269, 277, 227, 276, 239, 276]",2,"[0, 0, 0, 7, 10, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 1, 1, 6, 7, 9, 7, 5, 6, 9, 8, 2, 5, 6, 7, 8, 4, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231,1000,10000,0.1,0.8,roulette,SP,0.25,random,2277,277,"[277, 85, 270, 116, 245, 136, 260, 276, 277, 188, 276]","[274, 273, 276, 277, 188, 276]",2,"[0, 0, 0, 8, 10, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 9, 2, 4, 6, 8, 9, 4, 7, 6, 4, 7, 2, 8, 8, 8, 9, 9, 7, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231,1000,10000,0.1,0.8,roulette,SP,0.25,random,1330,330,"[296, 85, 207, 196, 183, 180, 322, 172, 123, 312, 330]","[310, 317, 172, 123, 312, 330]",1,"[0, 0, 0, 7, 10, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 9, 8, 5, 0, 8, 3, 9, 4, 5, 7, 7, 7, 6, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231,1000,10000,0.1,0.8,roulette,SP,0.25,random,2277,277,"[277, 97, 270, 107, 155, 244, 232, 230, 250, 268, 276]","[277, 263, 230, 250, 268, 276]",2,"[0, 0, 0, 1, 10, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 8, 2, 3, 5, 7, 9, 8, 8, 5, 5, 9, 2, 7, 7, 7, 7, 8, 8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231,1000,10000,0.1,0.8,roulette,SP,0.25,random,1277,277,"[277, 134, 228, 95, 258, 136, 251, 262, 262, 249, 254]","[260, 277, 262, 262, 249, 254]",1,"[0, 0, 0, 7, 10, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 9, 8, 7, 4, 6, 7, 4, 9, 1, 4, 7, 7, 8, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231,1000,10000,0.1,0.8,roulette,SP,0.25,random,2297,297,"[291, 85, 207, 165, 297, 136, 232, 290, 244, 183, 276]","[274, 297, 290, 244, 183, 276]",2,"[0, 0, 0, 7, 10, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 9, 0, 7, 8, 7, 9, 7, 8, 7, 7, 4, 3, 8, 8, 8, 8, 8, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231,1000,10000,0.1,0.8,roulette,SP,0.25,heur,2320,320,"[291, 164, 244, 95, 314, 136, 232, 300, 118, 236, 276]","[320, 314, 300, 118, 236, 276]",2,"[0, 0, 0, 1, 10, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 8, 0, 2, 4, 4, 7, 7, 9, 1, 7, 9, 1, 2, 7, 7, 7, 7, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231,1000,10000,0.1,0.8,roulette,SP,0.25,heur,2348,348,"[332, 146, 228, 95, 301, 161, 246, 209, 348, 0, 340]","[327, 340, 209, 348, 0, 340]",2,"[0, 0, 0, 1, 10, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 10, 0, 0, 0, 4, 8, 0, 7, 4, 8, 8, 1, 5, 6, 7, 7, 10, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231,1000,10000,0.1,0.8,roulette,SP,0.25,heur,2298,298,"[289, 168, 219, 78, 212, 155, 281, 264, 260, 182, 298]","[280, 280, 264, 260, 182, 298]",2,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 8, 1, 2, 7, 7, 8, 5, 1, 10, 7, 9, 6, 7, 8, 8, 9, 4, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231,1000,10000,0.1,0.8,roulette,SP,0.25,heur,1301,301,"[291, 147, 259, 78, 246, 136, 287, 267, 216, 275, 204]","[301, 301, 267, 216, 275, 204]",1,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 0, 2, 8, 8, 9, 8, 8, 6, 7, 7, 4, 4, 6, 6, 8, 2, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
